48@240@0@2@40@28@34@I will find you, Zero... to avenge Clovis!
49@240@0@2@41@35@41@I will find you, Zero... to avenge Clovis!
50@241@0@2@42@0@4@From the looks of it, you've already ate dinner.
51@241@0@2@6@5@8@From the looks of it, you've already ate dinner.
52@241@0@2@43@9@14@From the looks of it, you've already ate dinner.
53@241@0@2@13@15@17@From the looks of it, you've already ate dinner.
54@241@0@2@24@18@20@From the looks of it, you've already ate dinner.
55@241@0@2@44@22@28@From the looks of it, you've already ate dinner.
56@241@0@2@45@29@36@From the looks of it, you've already ate dinner.
57@241@0@2@46@37@40@From the looks of it, you've already ate dinner.
58@241@0@2@47@41@47@From the looks of it, you've already ate dinner.
59@242@0@2@37@0@1@I thought that you might have been caught up in the chaos that person named Zero caused.
60@242@0@2@48@2@9@I thought that you might have been caught up in the chaos that person named Zero caused.
61@242@0@2@11@10@14@I thought that you might have been caught up in the chaos that person named Zero caused.
62@242@0@2@19@15@18@I thought that you might have been caught up in the chaos that person named Zero caused.
63@242@0@2@49@19@24@I thought that you might have been caught up in the chaos that person named Zero caused.
64@242@0@2@2@25@29@I thought that you might have been caught up in the chaos that person named Zero caused.
65@242@0@2@30@30@34@I thought that you might have been caught up in the chaos that person named Zero caused.
66@242@0@2@50@35@41@I thought that you might have been caught up in the chaos that person named Zero caused.
67@242@0@2@51@42@44@I thought that you might have been caught up in the chaos that person named Zero caused.
68@242@0@2@22@45@47@I thought that you might have been caught up in the chaos that person named Zero caused.
69@242@0@2@6@48@51@I thought that you might have been caught up in the chaos that person named Zero caused.
70@242@0@2@52@52@57@I thought that you might have been caught up in the chaos that person named Zero caused.
71@242@0@2@11@58@62@I thought that you might have been caught up in the chaos that person named Zero caused.
72@242@0@2@53@63@69@I thought that you might have been caught up in the chaos that person named Zero caused.
73@242@0@2@54@70@75@I thought that you might have been caught up in the chaos that person named Zero caused.
74@242@0@2@39@76@80@I thought that you might have been caught up in the chaos that person named Zero caused.
75@242@0@2@55@81@87@I thought that you might have been caught up in the chaos that person named Zero caused.
76@243@0@2@37@0@1@I called you, but I couldn't reach you.
77@243@0@2@56@2@8@I called you, but I couldn't reach you.
78@243@0@2@19@9@12@I called you, but I couldn't reach you.
79@243@0@2@57@14@17@I called you, but I couldn't reach you.
80@243@0@2@37@18@19@I called you, but I couldn't reach you.
81@243@0@2@58@20@28@I called you, but I couldn't reach you.
82@243@0@2@59@29@34@I called you, but I couldn't reach you.
83@243@0@2@19@35@38@I called you, but I couldn't reach you.
84@244@0@2@60@0@1@C.C.-san came all the way here to see you...
85@244@0@2@60@2@3@C.C.-san came all the way here to see you...
86@244@0@2@61@5@8@C.C.-san came all the way here to see you...
87@244@0@2@62@9@13@C.C.-san came all the way here to see you...
88@244@0@2@63@14@17@C.C.-san came all the way here to see you...
89@244@0@2@6@18@21@C.C.-san came all the way here to see you...
90@244@0@2@64@22@25@C.C.-san came all the way here to see you...
91@244@0@2@65@26@30@C.C.-san came all the way here to see you...
92@244@0@2@35@31@33@C.C.-san came all the way here to see you...
93@244@0@2@66@34@37@C.C.-san came all the way here to see you...
94@244@0@2@19@38@41@C.C.-san came all the way here to see you...
95@245@0@2@27@0@4@Your friend is quite interesting, having only initials for a name.
96@245@0@2@67@5@11@Your friend is quite interesting, having only initials for a name.
97@245@0@2@68@12@14@Your friend is quite interesting, having only initials for a name.
98@245@0@2@69@15@20@Your friend is quite interesting, having only initials for a name.
99@245@0@2@70@21@32@Your friend is quite interesting, having only initials for a name.
100@245@0@2@71@34@40@Your friend is quite interesting, having only initials for a name.
101@245@0@2@72@41@45@Your friend is quite interesting, having only initials for a name.
102@245@0@2@73@46@54@Your friend is quite interesting, having only initials for a name.
103@245@0@2@74@55@58@Your friend is quite interesting, having only initials for a name.
104@245@0@2@75@59@60@Your friend is quite interesting, having only initials for a name.
105@245@0@2@76@61@65@Your friend is quite interesting, having only initials for a name.
106@246@0@2@77@0@4@Yeah... Could it be... that she's your girlfriend?
107@246@0@2@78@8@13@Yeah... Could it be... that she's your girlfriend?
108@246@0@2@24@14@16@Yeah... Could it be... that she's your girlfriend?
109@246@0@2@33@17@19@Yeah... Could it be... that she's your girlfriend?
110@246@0@2@11@23@27@Yeah... Could it be... that she's your girlfriend?
111@246@0@2@79@28@33@Yeah... Could it be... that she's your girlfriend?
112@246@0@2@27@34@38@Yeah... Could it be... that she's your girlfriend?
113@246@0@2@80@39@49@Yeah... Could it be... that she's your girlfriend?
114@247@0@2@81@0@3@Our futures are intertwined with one another, right?
115@247@0@2@82@4@11@Our futures are intertwined with one another, right?
116@247@0@2@83@12@15@Our futures are intertwined with one another, right?
117@247@0@2@84@16@27@Our futures are intertwined with one another, right?
118@247@0@2@85@28@32@Our futures are intertwined with one another, right?
119@247@0@2@86@33@36@Our futures are intertwined with one another, right?
120@247@0@2@87@37@44@Our futures are intertwined with one another, right?
121@247@0@2@16@46@51@Our futures are intertwined with one another, right?
122@248@0@2@88@0@2@By future, do you mean marriage?
123@248@0@2@89@3@9@By future, do you mean marriage?
124@248@0@2@90@11@13@By future, do you mean marriage?
125@248@0@2@19@14@17@By future, do you mean marriage?
126@248@0@2@91@18@22@By future, do you mean marriage?
127@248@0@2@92@23@31@By future, do you mean marriage?
128@249@0@2@25@0@2@No, it's not like that.
129@249@0@2@93@4@8@No, it's not like that.
130@249@0@2@94@9@12@No, it's not like that.
131@249@0@2@95@13@17@No, it's not like that.
132@249@0@2@11@18@22@No, it's not like that.
133@250@0@2@8@0@2@So, um... she's kidding...
134@250@0@2@96@4@6@So, um... she's kidding...
135@250@0@2@79@10@15@So, um... she's kidding...
136@250@0@2@97@16@23@So, um... she's kidding...
137@251@0@2@37@0@1@I see. I'm surprised at how quickly you decided, brother.
138@251@0@2@66@2@5@I see. I'm surprised at how quickly you decided, brother.
139@251@0@2@98@7@10@I see. I'm surprised at how quickly you decided, brother.
140@251@0@2@99@11@20@I see. I'm surprised at how quickly you decided, brother.
141@251@0@2@100@21@23@I see. I'm surprised at how quickly you decided, brother.
142@251@0@2@101@24@27@I see. I'm surprised at how quickly you decided, brother.
143@251@0@2@102@28@35@I see. I'm surprised at how quickly you decided, brother.
144@251@0@2@19@36@39@I see. I'm surprised at how quickly you decided, brother.
145@251@0@2@103@40@47@I see. I'm surprised at how quickly you decided, brother.
146@251@0@2@104@49@56@I see. I'm surprised at how quickly you decided, brother.
147@252@0@2@57@0@3@But they say, "To each his own", so it may not be that strange, I suppose.
148@252@0@2@0@4@8@But they say, "To each his own", so it may not be that strange, I suppose.
149@252@0@2@105@9@12@But they say, "To each his own", so it may not be that strange, I suppose.
150@252@0@2@35@15@17@But they say, "To each his own", so it may not be that strange, I suppose.
151@252@0@2@106@18@22@But they say, "To each his own", so it may not be that strange, I suppose.
152@252@0@2@107@23@26@But they say, "To each his own", so it may not be that strange, I suppose.
153@252@0@2@108@27@30@But they say, "To each his own", so it may not be that strange, I suppose.
154@252@0@2@8@33@35@But they say, "To each his own", so it may not be that strange, I suppose.
155@252@0@2@24@36@38@But they say, "To each his own", so it may not be that strange, I suppose.
156@252@0@2@109@39@42@But they say, "To each his own", so it may not be that strange, I suppose.
157@252@0@2@94@43@46@But they say, "To each his own", so it may not be that strange, I suppose.
158@252@0@2@33@47@49@But they say, "To each his own", so it may not be that strange, I suppose.
159@252@0@2@11@50@54@But they say, "To each his own", so it may not be that strange, I suppose.
160@252@0@2@110@55@62@But they say, "To each his own", so it may not be that strange, I suppose.
161@252@0@2@37@64@65@But they say, "To each his own", so it may not be that strange, I suppose.
162@252@0@2@111@66@73@But they say, "To each his own", so it may not be that strange, I suppose.
163@253@0@2@112@0@2@Ah, what are you doing C.C.?
164@253@0@2@113@4@8@Ah, what are you doing C.C.?
165@253@0@2@83@9@12@Ah, what are you doing C.C.?
166@253@0@2@19@13@16@Ah, what are you doing C.C.?
167@253@0@2@114@17@22@Ah, what are you doing C.C.?
168@253@0@2@60@23@24@Ah, what are you doing C.C.?
169@253@0@2@60@25@26@Ah, what are you doing C.C.?
170@254@0@2@65@0@4@Here, you need to go to the bathroom.
171@254@0@2@19@6@9@Here, you need to go to the bathroom.
172@254@0@2@26@10@14@Here, you need to go to the bathroom.
173@254@0@2@35@15@17@Here, you need to go to the bathroom.
174@254@0@2@115@18@20@Here, you need to go to the bathroom.
175@254@0@2@35@21@23@Here, you need to go to the bathroom.
176@254@0@2@6@24@27@Here, you need to go to the bathroom.
177@254@0@2@116@28@36@Here, you need to go to the bathroom.
178@255@0@2@18@0@4@I'll get you a change of clothes too.
179@255@0@2@117@5@8@I'll get you a change of clothes too.
180@255@0@2@19@9@12@I'll get you a change of clothes too.
181@255@0@2@75@13@14@I'll get you a change of clothes too.
182@255@0@2@118@15@21@I'll get you a change of clothes too.
183@255@0@2@13@22@24@I'll get you a change of clothes too.
184@255@0@2@119@25@32@I'll get you a change of clothes too.
185@255@0@2@120@33@36@I'll get you a change of clothes too.
186@256@0@2@121@0@6@Nanali, I'll clean it up right away, so stay right there.
187@256@0@2@18@8@12@Nanali, I'll clean it up right away, so stay right there.
188@256@0@2@122@13@18@Nanali, I'll clean it up right away, so stay right there.
189@256@0@2@24@19@21@Nanali, I'll clean it up right away, so stay right there.
190@256@0@2@51@22@24@Nanali, I'll clean it up right away, so stay right there.
191@256@0@2@16@25@30@Nanali, I'll clean it up right away, so stay right there.
192@256@0@2@123@31@35@Nanali, I'll clean it up right away, so stay right there.
193@256@0@2@8@37@39@Nanali, I'll clean it up right away, so stay right there.
194@256@0@2@124@40@44@Nanali, I'll clean it up right away, so stay right there.
195@256@0@2@16@45@50@Nanali, I'll clean it up right away, so stay right there.
196@256@0@2@125@51@56@Nanali, I'll clean it up right away, so stay right there.
197@257@0@2@126@0@4@Also, we were lying before...
198@257@0@2@127@6@8@Also, we were lying before...
199@257@0@2@128@9@13@Also, we were lying before...
200@257@0@2@129@14@19@Also, we were lying before...
201@257@0@2@130@20@26@Also, we were lying before...
202@258@0@2@131@0@6@That's not what I mean. You're...
203@258@0@2@94@7@10@That's not what I mean. You're...
204@258@0@2@113@11@15@That's not what I mean. You're...
205@258@0@2@37@16@17@That's not what I mean. You're...
206@258@0@2@91@18@22@That's not what I mean. You're...
207@258@0@2@132@24@30@That's not what I mean. You're...
208@259@0@2@6@0@3@The power I gave you.
209@259@0@2@133@4@9@The power I gave you.
210@259@0@2@37@10@11@The power I gave you.
211@259@0@2@134@12@16@The power I gave you.
212@259@0@2@19@17@20@The power I gave you.
213@260@0@2@135@0@2@As I thought, you're...
214@260@0@2@37@3@4@As I thought, you're...
215@260@0@2@48@5@12@As I thought, you're...
216@260@0@2@132@14@20@As I thought, you're...
217@261@0@2@25@0@2@No, I'm grateful. You pushed my schedule forward a great deal.
218@261@0@2@98@4@7@No, I'm grateful. You pushed my schedule forward a great deal.
219@261@0@2@136@8@16@No, I'm grateful. You pushed my schedule forward a great deal.
220@261@0@2@19@18@21@No, I'm grateful. You pushed my schedule forward a great deal.
221@261@0@2@137@22@28@No, I'm grateful. You pushed my schedule forward a great deal.
222@261@0@2@138@29@31@No, I'm grateful. You pushed my schedule forward a great deal.
223@261@0@2@139@32@40@No, I'm grateful. You pushed my schedule forward a great deal.
224@261@0@2@140@41@48@No, I'm grateful. You pushed my schedule forward a great deal.
225@261@0@2@75@49@50@No, I'm grateful. You pushed my schedule forward a great deal.
226@261@0@2@141@51@56@No, I'm grateful. You pushed my schedule forward a great deal.
227@261@0@2@142@57@61@No, I'm grateful. You pushed my schedule forward a great deal.
228@262@0@2@6@0@3@The plan to destroy Britannia.
229@262@0@2@143@4@8@The plan to destroy Britannia.
230@262@0@2@35@9@11@The plan to destroy Britannia.
231@262@0@2@144@12@19@The plan to destroy Britannia.
232@262@0@2@145@20@29@The plan to destroy Britannia.
233@263@0@2@37@0@1@I thought that it would be a little while longer before I could make my move.
234@263@0@2@48@2@9@I thought that it would be a little while longer before I could make my move.
235@263@0@2@11@10@14@I thought that it would be a little while longer before I could make my move.
236@263@0@2@24@15@17@I thought that it would be a little while longer before I could make my move.
237@263@0@2@146@18@23@I thought that it would be a little while longer before I could make my move.
238@263@0@2@33@24@26@I thought that it would be a little while longer before I could make my move.
239@263@0@2@75@27@28@I thought that it would be a little while longer before I could make my move.
240@263@0@2@147@29@35@I thought that it would be a little while longer before I could make my move.
241@263@0@2@148@36@41@I thought that it would be a little while longer before I could make my move.
242@263@0@2@149@42@48@I thought that it would be a little while longer before I could make my move.
243@263@0@2@130@49@55@I thought that it would be a little while longer before I could make my move.
244@263@0@2@37@56@57@I thought that it would be a little while longer before I could make my move.
245@263@0@2@78@58@63@I thought that it would be a little while longer before I could make my move.
246@263@0@2@150@64@68@I thought that it would be a little while longer before I could make my move.
247@263@0@2@138@69@71@I thought that it would be a little while longer before I could make my move.
248@263@0@2@151@72@76@I thought that it would be a little while longer before I could make my move.
249@264@0@2@90@0@2@Do you think you can destroy it with just that power?
250@264@0@2@19@3@6@Do you think you can destroy it with just that power?
251@264@0@2@152@7@12@Do you think you can destroy it with just that power?
252@264@0@2@19@13@16@Do you think you can destroy it with just that power?
253@264@0@2@153@17@20@Do you think you can destroy it with just that power?
254@264@0@2@144@21@28@Do you think you can destroy it with just that power?
255@264@0@2@24@29@31@Do you think you can destroy it with just that power?
256@264@0@2@85@32@36@Do you think you can destroy it with just that power?
257@264@0@2@154@37@41@Do you think you can destroy it with just that power?
258@264@0@2@11@42@46@Do you think you can destroy it with just that power?
259@264@0@2@133@47@52@Do you think you can destroy it with just that power?
260@265@0@2@37@0@1@I was planning to do this even without it.
261@265@0@2@155@2@5@I was planning to do this even without it.
262@265@0@2@156@6@14@I was planning to do this even without it.
263@265@0@2@35@15@17@I was planning to do this even without it.
264@265@0@2@90@18@20@I was planning to do this even without it.
265@265@0@2@9@21@25@I was planning to do this even without it.
266@265@0@2@157@26@30@I was planning to do this even without it.
267@265@0@2@158@31@38@I was planning to do this even without it.
268@265@0@2@24@39@41@I was planning to do this even without it.
269@266@0@2@135@0@2@As expected, you're an interesting person.
270@266@0@2@159@3@11@As expected, you're an interesting person.
271@266@0@2@132@13@19@As expected, you're an interesting person.
272@266@0@2@160@20@22@As expected, you're an interesting person.
273@266@0@2@70@23@34@As expected, you're an interesting person.
274@266@0@2@53@35@41@As expected, you're an interesting person.
275@267@0@2@113@0@4@What are you going to do from now on?
276@267@0@2@83@5@8@What are you going to do from now on?
277@267@0@2@19@9@12@What are you going to do from now on?
278@267@0@2@161@13@18@What are you going to do from now on?
279@267@0@2@35@19@21@What are you going to do from now on?
280@267@0@2@90@22@24@What are you going to do from now on?
281@267@0@2@42@25@29@What are you going to do from now on?
282@267@0@2@162@30@33@What are you going to do from now on?
283@267@0@2@163@34@36@What are you going to do from now on?
284@268@0@2@132@0@6@You're being pursued by the military, aren't you?
285@268@0@2@164@7@12@You're being pursued by the military, aren't you?
286@268@0@2@165@13@20@You're being pursued by the military, aren't you?
287@268@0@2@88@21@23@You're being pursued by the military, aren't you?
288@268@0@2@6@24@27@You're being pursued by the military, aren't you?
289@268@0@2@166@28@36@You're being pursued by the military, aren't you?
290@268@0@2@167@38@44@You're being pursued by the military, aren't you?
291@268@0@2@19@45@48@You're being pursued by the military, aren't you?
292@269@0@2@157@0@4@Even if you say the military, it's only a small portion of it.
293@269@0@2@168@5@7@Even if you say the military, it's only a small portion of it.
294@269@0@2@19@8@11@Even if you say the military, it's only a small portion of it.
295@269@0@2@105@12@15@Even if you say the military, it's only a small portion of it.
296@269@0@2@6@16@19@Even if you say the military, it's only a small portion of it.
297@269@0@2@166@20@28@Even if you say the military, it's only a small portion of it.
298@269@0@2@93@30@34@Even if you say the military, it's only a small portion of it.
299@269@0@2@72@35@39@Even if you say the military, it's only a small portion of it.
300@269@0@2@75@40@41@Even if you say the military, it's only a small portion of it.
301@269@0@2@169@42@47@Even if you say the military, it's only a small portion of it.
302@269@0@2@170@48@55@Even if you say the military, it's only a small portion of it.
303@269@0@2@13@56@58@Even if you say the military, it's only a small portion of it.
304@269@0@2@24@59@61@Even if you say the military, it's only a small portion of it.
305@270@0@2@93@0@4@It's enough if I just keep a low profile.
306@270@0@2@171@5@11@It's enough if I just keep a low profile.
307@270@0@2@168@12@14@It's enough if I just keep a low profile.
308@270@0@2@37@15@16@It's enough if I just keep a low profile.
309@270@0@2@154@17@21@It's enough if I just keep a low profile.
310@270@0@2@172@22@26@It's enough if I just keep a low profile.
311@270@0@2@75@27@28@It's enough if I just keep a low profile.
312@270@0@2@173@29@32@It's enough if I just keep a low profile.
313@270@0@2@174@33@40@It's enough if I just keep a low profile.
314@271@0@2@18@0@4@I'll put up with it here.
315@271@0@2@175@5@8@I'll put up with it here.
316@271@0@2@51@9@11@I'll put up with it here.
317@271@0@2@85@12@16@I'll put up with it here.
318@271@0@2@24@17@19@I'll put up with it here.
319@271@0@2@65@20@24@I'll put up with it here.
320@272@0@2@176@0@3@Hey, you're planning on staying here?
321@272@0@2@132@5@11@Hey, you're planning on staying here?
322@272@0@2@156@12@20@Hey, you're planning on staying here?
323@272@0@2@163@21@23@Hey, you're planning on staying here?
324@272@0@2@177@24@31@Hey, you're planning on staying here?
325@272@0@2@65@32@36@Hey, you're planning on staying here?
326@273@0@2@178@0@3@Men sleep on the floor.
327@273@0@2@179@4@9@Men sleep on the floor.
328@273@0@2@163@10@12@Men sleep on the floor.
329@273@0@2@6@13@16@Men sleep on the floor.
330@273@0@2@180@17@22@Men sleep on the floor.
331@274@0@2@131@0@6@That's not the point... If I get caught, you'll have problems too, won't you?
332@274@0@2@94@7@10@That's not the point... If I get caught, you'll have problems too, won't you?
333@274@0@2@6@11@14@That's not the point... If I get caught, you'll have problems too, won't you?
334@274@0@2@181@15@20@That's not the point... If I get caught, you'll have problems too, won't you?
335@274@0@2@168@24@26@That's not the point... If I get caught, you'll have problems too, won't you?
336@274@0@2@37@27@28@That's not the point... If I get caught, you'll have problems too, won't you?
337@274@0@2@117@29@32@That's not the point... If I get caught, you'll have problems too, won't you?
338@274@0@2@50@33@39@That's not the point... If I get caught, you'll have problems too, won't you?
339@274@0@2@182@41@47@That's not the point... If I get caught, you'll have problems too, won't you?
340@274@0@2@2@48@52@That's not the point... If I get caught, you'll have problems too, won't you?
341@274@0@2@183@53@61@That's not the point... If I get caught, you'll have problems too, won't you?
342@274@0@2@120@62@65@That's not the point... If I get caught, you'll have problems too, won't you?
343@274@0@2@184@67@72@That's not the point... If I get caught, you'll have problems too, won't you?
344@274@0@2@19@73@76@That's not the point... If I get caught, you'll have problems too, won't you?
345@275@0@2@164@0@5@Being together is even more dangerous.
346@275@0@2@185@6@14@Being together is even more dangerous.
347@275@0@2@68@15@17@Being together is even more dangerous.
348@275@0@2@157@18@22@Being together is even more dangerous.
349@275@0@2@186@23@27@Being together is even more dangerous.
350@275@0@2@187@28@37@Being together is even more dangerous.
351@276@0@2@168@0@2@If I sleep out there, I will be caught.
352@276@0@2@37@3@4@If I sleep out there, I will be caught.
353@276@0@2@179@5@10@If I sleep out there, I will be caught.
354@276@0@2@188@11@14@If I sleep out there, I will be caught.
355@276@0@2@125@15@20@If I sleep out there, I will be caught.
356@276@0@2@37@22@23@If I sleep out there, I will be caught.
357@276@0@2@32@24@28@If I sleep out there, I will be caught.
358@276@0@2@33@29@31@If I sleep out there, I will be caught.
359@276@0@2@50@32@38@If I sleep out there, I will be caught.
360@277@0@2@94@0@3@Not at your convenience, but at mi-
361@277@0@2@100@4@6@Not at your convenience, but at mi-
362@277@0@2@27@7@11@Not at your convenience, but at mi-
363@277@0@2@189@12@23@Not at your convenience, but at mi-
364@277@0@2@57@25@28@Not at your convenience, but at mi-
365@277@0@2@100@29@31@Not at your convenience, but at mi-
366@277@0@2@190@32@35@Not at your convenience, but at mi-
367@278@0@2@132@0@6@You're being very careless about this.
368@278@0@2@164@7@12@You're being very careless about this.
369@278@0@2@191@13@17@You're being very careless about this.
370@278@0@2@192@18@26@You're being very careless about this.
371@278@0@2@193@27@32@You're being very careless about this.
372@278@0@2@9@33@37@You're being very careless about this.
373@279@0@2@186@0@4@More importantly, how did you survive?
374@279@0@2@194@5@16@More importantly, how did you survive?
375@279@0@2@101@18@21@More importantly, how did you survive?
376@279@0@2@195@22@25@More importantly, how did you survive?
377@279@0@2@19@26@29@More importantly, how did you survive?
378@279@0@2@196@30@37@More importantly, how did you survive?
379@280@0@2@197@0@3@And that contract you were talking about...
380@280@0@2@11@4@8@And that contract you were talking about...
381@280@0@2@198@9@17@And that contract you were talking about...
382@280@0@2@19@18@21@And that contract you were talking about...
383@280@0@2@128@22@26@And that contract you were talking about...
384@280@0@2@199@27@34@And that contract you were talking about...
385@280@0@2@193@35@40@And that contract you were talking about...
386@281@0@2@9@0@4@This makes it seven incidences since Zero appeared.
387@281@0@2@200@5@10@This makes it seven incidences since Zero appeared.
388@281@0@2@24@11@13@This makes it seven incidences since Zero appeared.
389@281@0@2@201@14@19@This makes it seven incidences since Zero appeared.
390@281@0@2@202@20@30@This makes it seven incidences since Zero appeared.
391@281@0@2@203@31@36@This makes it seven incidences since Zero appeared.
392@281@0@2@39@37@41@This makes it seven incidences since Zero appeared.
393@281@0@2@204@42@50@This makes it seven incidences since Zero appeared.
394@282@0@2@205@0@5@After Zero appeared, other groups apparently became more hard-working.
395@282@0@2@39@6@10@After Zero appeared, other groups apparently became more hard-working.
396@282@0@2@204@11@19@After Zero appeared, other groups apparently became more hard-working.
397@282@0@2@206@21@26@After Zero appeared, other groups apparently became more hard-working.
398@282@0@2@207@27@33@After Zero appeared, other groups apparently became more hard-working.
399@282@0@2@208@34@44@After Zero appeared, other groups apparently became more hard-working.
400@282@0@2@209@45@51@After Zero appeared, other groups apparently became more hard-working.
401@282@0@2@186@52@56@After Zero appeared, other groups apparently became more hard-working.
402@282@0@2@210@57@69@After Zero appeared, other groups apparently became more hard-working.
403@283@0@2@211@0@7@Because of that "orange" incident, substitute supervisor Jeremiah has lost his leadership.
404@283@0@2@13@8@10@Because of that "orange" incident, substitute supervisor Jeremiah has lost his leadership.
405@283@0@2@11@11@15@Because of that "orange" incident, substitute supervisor Jeremiah has lost his leadership.
406@283@0@2@212@17@23@Because of that "orange" incident, substitute supervisor Jeremiah has lost his leadership.
407@283@0@2@213@25@33@Because of that "orange" incident, substitute supervisor Jeremiah has lost his leadership.
408@283@0@2@214@35@45@Because of that "orange" incident, substitute supervisor Jeremiah has lost his leadership.
409@283@0@2@215@46@56@Because of that "orange" incident, substitute supervisor Jeremiah has lost his leadership.
410@283@0@2@216@57@65@Because of that "orange" incident, substitute supervisor Jeremiah has lost his leadership.
411@283@0@2@29@66@69@Because of that "orange" incident, substitute supervisor Jeremiah has lost his leadership.
412@283@0@2@217@70@74@Because of that "orange" incident, substitute supervisor Jeremiah has lost his leadership.
413@283@0@2@107@75@78@Because of that "orange" incident, substitute supervisor Jeremiah has lost his leadership.
414@283@0@2@218@79@89@Because of that "orange" incident, substitute supervisor Jeremiah has lost his leadership.
415@284@0@2@219@0@2@He doesn't have the ability to do it.
416@284@0@2@220@3@10@He doesn't have the ability to do it.
417@284@0@2@2@11@15@He doesn't have the ability to do it.
418@284@0@2@6@16@19@He doesn't have the ability to do it.
419@284@0@2@221@20@27@He doesn't have the ability to do it.
420@284@0@2@35@28@30@He doesn't have the ability to do it.
421@284@0@2@90@31@33@He doesn't have the ability to do it.
422@284@0@2@24@34@36@He doesn't have the ability to do it.
423@285@0@2@222@0@6@Thanks to that, the cooperation with the police and unions are in shambles.
424@285@0@2@35@7@9@Thanks to that, the cooperation with the police and unions are in shambles.
425@285@0@2@11@10@14@Thanks to that, the cooperation with the police and unions are in shambles.
426@285@0@2@6@16@19@Thanks to that, the cooperation with the police and unions are in shambles.
427@285@0@2@223@20@31@Thanks to that, the cooperation with the police and unions are in shambles.
428@285@0@2@85@32@36@Thanks to that, the cooperation with the police and unions are in shambles.
429@285@0@2@6@37@40@Thanks to that, the cooperation with the police and unions are in shambles.
430@285@0@2@224@41@47@Thanks to that, the cooperation with the police and unions are in shambles.
431@285@0@2@197@48@51@Thanks to that, the cooperation with the police and unions are in shambles.
432@285@0@2@225@52@58@Thanks to that, the cooperation with the police and unions are in shambles.
